,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-18 01:00:00,0.47796890538368714,0.6528872190226551,0.5190242680244894,0.5954772208425836,0.5529595233519957
2024-07-18 02:00:00,0.47837732566640906,0.6622614138836117,0.5307045437599509,0.6003052870603138,0.5627847248655082
2024-07-18 03:00:00,0.48001499750782933,0.6629859379794021,0.5312844471745399,0.5992161255114312,0.566425725892253
2024-07-18 04:00:00,0.479855121059504,0.6642300461869901,0.529891273576002,0.5990755953349002,0.5680968843733328
2024-07-18 05:00:00,0.4744995402779618,0.660481265905305,0.5249744141728047,0.5928071312094226,0.565820212515269
2024-07-18 06:00:00,0.45001640098658086,0.6165485688363566,0.5245991486750723,0.5553579010362298,0.54229784010006
2024-07-18 07:00:00,0.4047150179659158,0.552266372153942,0.5254390359566798,0.49827365914863925,0.5046285061492156
2024-07-18 08:00:00,0.33399156823777704,0.4959298426094433,0.5182806261162439,0.46113719201244324,0.4572945155906321
2024-07-18 09:00:00,0.30499060841032666,0.4455900159610841,0.4921503555680057,0.41642966724992636,0.42227039909893743
2024-07-18 10:00:00,0.2876244294734371,0.444711804619489,0.4931509422756553,0.4182956741552873,0.4160789256999038
2024-07-18 11:00:00,0.2739534870230423,0.41209644270689055,0.4808791744113503,0.38678236461971316,0.39458734364089815
2024-07-18 12:00:00,0.27668738720115466,0.4215778519769815,0.49712312073136466,0.40090066357922505,0.4068161080725161
2024-07-18 13:00:00,0.29063146916289184,0.4435281518622105,0.5104199891165621,0.43009466223372805,0.4244768821717157
2024-07-18 14:00:00,0.3078464321232307,0.4221625643736836,0.4895512451224077,0.402783763377781,0.41483489050025346
2024-07-18 15:00:00,0.3300799231464769,0.42614847164931374,0.48631184909885067,0.4084925881581987,0.4238307557275031
2024-07-18 16:00:00,0.37062439613357606,0.46189129666025974,0.49474399114821976,0.4440885269372544,0.4524584989875372
2024-07-18 17:00:00,0.4096411809713767,0.5072980314632086,0.5019915051004278,0.47623400353124407,0.47989078602137714
2024-07-18 18:00:00,0.47660405721132976,0.5432511873961419,0.505514646910806,0.4662392451823,0.509391260968674
2024-07-18 19:00:00,0.4796615916540378,0.5476043504177779,0.5028952769584246,0.4687159267422956,0.5100849696615535
2024-07-18 20:00:00,0.4808458163848466,0.5618837184369277,0.5080364665664182,0.5100575528461946,0.5179071560501681
2024-07-18 21:00:00,0.4806373486858832,0.5748521802649751,0.5046258216661019,0.5258617037600563,0.519955274232966
2024-07-18 22:00:00,0.48075955135871856,0.5890215384536649,0.5002908537935424,0.5299301178947697,0.5219649895638412
2024-07-18 23:00:00,0.4809979134700356,0.6248447432512969,0.5048065465673666,0.5613319187053697,0.5356748202960605
2024-07-19 00:00:00,0.4800242494864654,0.6471638777532367,0.5183796103824885,0.5873683816493268,0.5474643931165223
2024-07-19 01:00:00,0.47943572619452335,0.6624247652259904,0.5328360236160543,0.5968134704757206,0.5587763628466843
2024-07-19 02:00:00,0.4788036367731764,0.6745405921990122,0.5306649915020147,0.6050256467669639,0.5667451022804461
2024-07-19 03:00:00,0.47816718295014454,0.6709077152698525,0.5185525982485657,0.6013553156367994,0.5636710480974028
2024-07-19 04:00:00,0.4744156751037425,0.671821522740241,0.5138525060193904,0.600230756553548,0.5624362090888342
2024-07-19 05:00:00,0.46550338733570196,0.6643830208926489,0.5137563077116962,0.5941005209417226,0.5571991312518453
2024-07-19 06:00:00,0.42793579778087515,0.628006848917074,0.5049064981845509,0.5665660047222888,0.530665345070365
2024-07-19 07:00:00,0.3596419258743764,0.5720438871564452,0.5004052882634842,0.5240941877824381,0.48693453708552475
2024-07-19 08:00:00,0.3153672335768902,0.4986123242659973,0.4893661192725045,0.4674604249874784,0.4412605580145749
2024-07-19 09:00:00,0.2990845082467418,0.44276589380677994,0.4611279746647254,0.4177481567593193,0.4088789824042898
2024-07-19 10:00:00,0.29470666169317106,0.42982550021695465,0.4622880803995099,0.40748061727994417,0.4035291556595769
2024-07-19 11:00:00,0.27605637643115394,0.40008425893125105,0.46450689791802,0.38023499453318516,0.3895123989788752
2024-07-19 12:00:00,0.27721558629689264,0.40248670267033826,0.468265957702342,0.38121921405728987,0.39174999030850155
2024-07-19 13:00:00,0.2894038284386127,0.4051751719449489,0.46628005520220384,0.38803665636060336,0.3965288967678397
2024-07-19 14:00:00,0.31817447847342434,0.42651474333516065,0.46830687298590656,0.41022735451594394,0.41483707902497985
